query,positive
Какую информацию о трудоустройстве обязан предоставить университет студентам?,"Обязанности и права студентов НГТУ: - · Обжаловать приказы и распоряжения администрации университета в установленном законодательством Российской Федерации порядке. - · Переходить с платного договорного обучения на бесплатное обучение в порядке, предусмотренном уставом университета, получать от университета информацию о положении дел в сфере занятости населения и возможностях трудоустройства по специальности."
Сколько основных отделов существует в РСМ НГТУ?,"В основе РСМ НГТУ работа 5 основных отделов:

- • Организационный отдел;
- • Отдел фандрайзинга;
- • Отдел маркетинга;
- • Отдел РСМ Медиа;
- • Отдел МТО."
Кто проводит дополнительные занятия на факультете довузовской подготовки и дополнительных образовательных услуг?,Факультет довузовской подготовки и дополнительных образовательных услуг (ФДП и ОУ) приглашает на дополнительные занятия (на договорной основе). Занятия проводят штатные преподаватели НГТУ в малых группах.
Могут ли обучающиеся обучаться по индивидуальным учебным планам в рамках ФГОС?,"Обучающиеся имеют право:

- · Получать образование в соответствии с федеральным государственным образовательным стандартом (ФГОС) и требованиями, самостоятельно устанавливаемыми университетом, обучаться в пределах этих стандартов по индивидуальным учебным планам, ускоренным курсам обучения
- · Бесплатно пользоваться библиотечно-информационными ресурсами, получать дополнительные (в том числе платные) образовательные услуги
- • Свободно выражать собственные мнения и убеждения. - · Выбирать факультативные (необязательные для данного направления подготовки) и элективные (избираемые в обязательном порядке) курсы, предлагаемые институтом и кафедрой."
Сколько раз можно пересдавать экзамен с неудовлетворительной оценкой?,"- · Пересдача экзамена, по которому получена неудовлетворительная оценка, производится два раза. Для пересдачи во второй раз назначается аттестационная комиссия."
Сколько лет существует Нижегородская Городская Открытая Лига КВН им. В. Т. Карпея на базе НГТУ?,"Уже больше 20 лет на базе НГТУ существует и процветает Нижегородская Городская Открытая Лига КВН им. В. Т. Карпея ,

в которой традиционно участвуют студенты политеха, а также другие команды нашего и соседних регионов. Профессиональные редакторы, режиссеры и ведущие трудятся над каждым сезоном лиги, чтобы сделать его незабываемым для зрителей и участников."
Кто является руководителем танцевальной студии?,"Для участников команды танцы - это не просто заученные движения, это жизнь. Каждый член коллектива вкладывает много сил и энергии в подготовку выступлений, чтобы порадовать зрителей своим творчеством. Руководитель студии - Полина Кузнецова, тел: 8-930-714-57-00"
Как избежать скуки во время учёбы?,"- • Работа на совесть - это средство от скуки. - • Будь доброжелательным к товарищам по учёбе, оказывай им посильную помощь."
Как называется должность Татьяны Юрьевны Полянской?,"Должность: Руководитель (ауд. 1261), Историко-патриотический центр:, ФИО: Полянская Татьяна Юрьевна , Номер телефона: 436-03-76"
Развивается ли инфраструктура спортивно-оздоровительного лагеря?,И этим все сказано! Инфраструктура спортивно-оздоровительного лагеря развивается с каждым годом.
Кто является руководителем Школы горного туризма НГТУ?,"Занятия проходят в стенах университета на протяжении учебного года, а во время каникул студенты с наставниками покоряют горные вершины! Руководитель Школы горного туризма НГТУ - Блинов Кирилл Дмитриевич, тел. 8 (910) 899-08-69"
Что такое флешбук и как он используется в Центре?,"В работе Центра используются, современные, новые креативные формы деятельности, призванные способствовать продвижению книги и чтения в студенческой среде. Среди них можно назвать библиотечный квилт (информационный стенд, состоящий из отдельных частей-лоскутов), флешбук (знакомство с интересными книгами с помощью цитат, иллюстраций, личных переживаний и другой информации о книге), буктрейлер (небольшой видеоролик о самых ярких и узнаваемых моментах книги, визуализирующих её содержание)."
Какой номер телефона у Лухмановой Татьяны Владимировны?,"Должность: Зам. директора по внеучебной работе (ауд.1358, ауд.6206), Образовательно-научный институт транспортных систем (ИТС), ФИО: Лухманова Татьяна Владимировна , Номер телефона: 257-86-88"
В каких мероприятиях участвует СОО «Дружина» НГТУ?,"Студенческий оперативный отряд «Дружина»

СОО «Дружина» НГТУ - это добровольное объединение студентов опорного университета. Его основными задачами являются оказания содействия в обеспечении безопасности и правопорядка во время проведения университетских, институтских и региональных культурномассовых, спортивных и иных мероприятий, проводимых в НГТУ, а также участие в работе по патриотическому воспитанию студентов."
"Сколько человек входит в команду для участия в квест-игре ""Форт Политех Межвуз""?","Российский Союз Молодежи НГТУ

Реализуемые проекты:«Форт Политех Межвуз»

Ежегодная квест-игра, являющаяся продолжением проекта «Форт Политех», где принимают участие команды из нескольких вузов Нижнего Новгорода. Она проводится в районе поселка Рекшино на протяжении 10 лет.Команды из 6 человек проходят более 30 интереснейших этапов, которые проверят тебя и твою команду на выносливость, командный дух, смекалку и скорость принятия решения! После подведения итогов игры, команды собираются у костра, где для них подготовлен ужин."
Где расположены базовые лаборатории промышленных предприятий?,"Технический университет тесно сотрудничает с реальным сектором экономики. На предприятиях региона действуют 16 базовых кафедр , а в самом университете работают базовые лаборатории промышленных предприятии."
Какие виды семестровых испытаний включены в данные?,"Она содержит результаты всех семестровых испытаний: зачетов, экзаменов, курсовых работ, производственных и учебных практик. Не забудь подписать и заверить данные в конце семестра!"
Что подразумевается под соблюдением учебной дисциплины?,"Обучающиеся в университете обязаны:

Систематически и глубоко овладевать теоретическими знаниями, практическими навыками, современными методами и компетенциями для работы по избранной специальности или направлению. - • Соблюдать учебную дисциплину:
- - посещать учебные занятия;
- - лично выполнять в установленные сроки все виды учебных заданий и контроля усвоения учебного материала, предусмотренные соответствующими учебными планами и программами обучения."
Где проходят практические тренировочные упражнения в яхтшколе «ПАРУС»?,"Яхтенная школа «ПАРУС»

Яхтшкола «ПАРУС» ведет подготовку к дипломированию членов экипажей парусных судов по программам плавания по внутренним водным путям и для плавания в международных водах. Предусмотрены теоретические аудиторные занятия и практические тренировочные упражнения непосредственно на яхтах."
Кто входит в актив студенческой группы НГТУ?,"Традиционно в студенческих группах НГТУ к активу относят старосту, культорга и физорга группы. Педагогическое сопровождение их деятельности осуществляет куратор студенческой группы (из числа преподавателей вуза) и координатор (студент старших курсов из числа студенческого совета вуза, лидер студенческого самоуправления института)."
Какова ключевая стратегия достижения целей согласно принципам университета?,"- • Путь к цели ведет через маленькие успехи каждый день. - · Совершать хорошие дела не запрещается, а поощряется, ведь именно в них живет истинная мудрость. - • Бережно относись к имуществу университета
- • Поддерживай чистоту в аудиториях."
Куда выезжают работать студенты НГТУ?,"И это только начало! С годами мы будем покорять все новые рубежи, расширяя карту студенческих отрядов НГТУ до невообразимых масштабов! Уже сейчас ежегодно наши ребята выезжают работать на международные стройки в Китай, Индию, Турцию"
Какова должность Бородиной Нины Викторовны в НГТУ им. Алексеева?,"Должность: Инженер 2 категории (секретарь) (ауд. 5206), Институт ядерной энергетики и технической физики им. академика Ф.М. Митенкова (ИЯЭиТФ), ФИО: Бородина Нина Викторовна , Номер телефона: 436-63-53"
Какой адрес у яхтшколы «ПАРУС» НГТУ им. Р.Е. Алексеева?,"Контакты:

Адрес: 603950 ГСП-41, НГТУ им. Р.Е. Алексеева, Нижний Новгород, ул. Минина 24, яхтшкола «ПАРУС» Тел/ факс: 8 (831) 436-73-09 Эл. почта: ksf@nntu.ru"
В каком размере выплачивается повышенная государственная академическая стипендия?,"Стипендия

Для студентов, выполняющих общественную работу, активно участвующих в научной, спортивной жизни институтов и университета, предусмотрены иные денежные выплаты.

Студенты, получающие академическую стипендию за особые достижения в учебной, научно-исследовательской, общественной, культурно-творческой и спортивной деятельности, могут получать повышенную государственную академическую стипендию в размере 14560 рублей в месяц."
"Что происходит со студентом, если он получает неудовлетворительную оценку на экзамене?","Сессия

В случае получения на экзамене неудовлетворительной оценки студент имеет право на повторную сдачу экзамена (пересдачу). - · Пересдача экзамена, по которому получена неудовлетворительная оценка, в период экзаменационной сессии, как правило, не допускается."
В чем заключается роль бала в воспитании студентов?,В день бала студенты и студентки в бальных платьях встречаются для финала мероприятия в многофункциональном зале «Взлет НГТУ». Это позволяет сохранить знания о истории Росии и служит инструментом духовно-нравственного воспитания.
Чем отличается РСМ НГТУ от других студенческих объединений?,"Российский Союз Молодежи НГТУ

Первичная организация Российский Союз Молодежи НГТУ (РСМ НГТУ) - не просто студенческое объединение, а большая и дружная команда молодых ребят, не знающих слово «скука»!

РСМ НГТУ - объединение студентов для содействия всестороннему развитию молодого человека, формирования у него качеств и компетенций, необходимых для дальнейшей профессиональной деятельности, реализации его потенциала во всех сферах общественной жизни.

Мы одна из самых массовых молодежных неполитических некоммерческих организаций Российской Федерации."
Как зовут директора Студенческого клуба НГТУ?,"Должность: Директор (ауд. 1401), Студенческий клуб НГТУ:, ФИО: Мошков Илья Александрович , Номер телефона: 220-16-21"
Какие творческие способности можно развивать?,"Если вы любите поэзию и прозу, живопись, музыку, если вы хотите развивать свои творческие способности и духовно обогащаться, приходите к нам. Мы ждем вас, ваши пожелания и предложения!"
Что вкладывают участники команды в подготовку выступлений?,"Для участников команды танцы - это не просто заученные движения, это жизнь. Каждый член коллектива вкладывает много сил и энергии в подготовку выступлений, чтобы порадовать зрителей своим творчеством. Руководитель студии - Полина Кузнецова, тел: 8-930-714-57-00"
"Какие экспонаты представлены в экспозиции, посвящённой истории университета?","Начало экспозиции посвящено становлению технического образования в Нижнем Новгороде конца XIX века, образованию Варшавского политехнического института императора Николая II и его перевода в 1916 году в Нижний Новгород. Далее можно познакомиться с историей университета с 1917 по 2000-е годы.Среди экспонатов - мебель, приборы лабораторий, личные вещи сотрудников бывшего Варшавского политеха. В центре хранится знамя университета, которое выносят на все патриотические мероприятия нашего вуза."
Какие развлечения ожидают участников мероприятия?,"самое теплое мероприятие, которое как нельзя кстати проходит

- «Леденец» в холодную зимнюю пору! Настоящее катание на коньках, конкурсы, призы уверены, ты уже ждешь!"
Какие документы необходимо предоставить для льготного проживания в общежитии НГТУ?,"Лица, имеющие право на льготное проживание, должны предоставить подтверждающие документы;
- · Заключить договор найма специализированного жилого помещения в общежитии НГТУ;
- · Заключить договор найма специализированного жилого помещения в общежитии НГТУ;
- Произвести оплату в терминалах «Газпромбанка» ( учебный корпус № 1 НГТУ - ул. Минина, д. 24; учебный корпус № 6 НГТУ Казанское шоссе, д.12; общежитие № 4 НГТУ - ул. Кулибина, д. 2). 
- Заселиться в общежитие."
В какой аудитории находится спортивный клуб НГТУ?,"Расписание секций ты найдешь на досках объявлений спортклуба (ауд. 6020) и перед дирекциями институтов. Студентам, имеющим спортивные разряды (не ниже 1 взрослого) , звания и награды, в начале учебного года необходимо подойти в спортивный клуб НГТУ (ауд.6020)."
Какие качества важны для успешного взаимодействия в учебе?,"- • Работа на совесть - это средство от скуки. - • Будь доброжелательным к товарищам по учёбе, оказывай им посильную помощь."
Какой номер телефона у Ксении Колено?,"Должность: Председатель (ауд. 1336), Студенческие отряды НГТУ:, ФИО: Колено Ксения , Номер телефона: 8 (908) 238-32-40"
Кто занимает должность начальника второго отдела?,"Должность: Начальник второго отдела (воинский учет),  ФИО: Голдобин Владимир Александрович , Номер телефона: 201-04-19"
Что можно научиться делать во время работы?,"За время работы ты проходишь все производственные циклы - от идеи до реального изделия, учишься проектировать, создавать 3D модели, работать на станках с ЧПУ, защищать проект на конкурсах, общаться с производителями и работать в команде. Каждый проект ежегодно выезжает на всероссийские и международные соревнования!"
В каком институте работает Наталья Александровна Тумасова?,"Должность: Зам. директора по учебно-методической работе (очная форма обучения) (ауд. 1358), Образовательно-научный институт транспортных систем (ИТС), ФИО: Тумасова Наталья Александровна , Номер телефона: 436-63-64"
Какие документы должны быть представлены в дирекцию для продления сроков экзаменационной сессии?,"- · В случае, если подготовиться к зачету или экзамену ты не смог по состоянию здоровья или другим уважительным причинам, ты должен своевременно предоставить в дирекцию соответствующие документы. - · Сроки экзаменационной сессии студентам, пропустившим экзамены и зачеты по уважительным причинам, могут быть продлены на основании их личного заявления и прилагаемых документов (медицинских или иных), которые должны быть представлены в дирекцию незамедлительно."
Как часто студенты НГТУ выезжают работать за границу?,"И это только начало! С годами мы будем покорять все новые рубежи, расширяя карту студенческих отрядов НГТУ до невообразимых масштабов! Уже сейчас ежегодно наши ребята выезжают работать на международные стройки в Китай, Индию, Турцию"
В какие дни можно записаться на занятия?,"Тебя ждут для записи на занятия с понедельника по пятницу с 10:00 до 15:00 в кабинете №1314, тел. : 220-15-96. Контактное лицо: Нэля Владимировна Пыркова."
Какой номер телефона у руководителя Центра культуры и чтения НТБ?,"Должность: Руководитель (ауд. 6115), Центр культуры и чтения НТБ:, ФИО: Обидина Любовь Николаевна , Номер телефона: 257-86-54"
В каком институте работает Жанна Владимировна Мацулевич?,"Должность: Директор (ауд. 1249), Институт физико-химических технологий и материаловедения (ИФХТиМ), ФИО: Мацулевич Жанна Владимировна , Номер телефона: 436-93-58"
Какие даты связаны с прославлением и кончиной адмирала Ушакова?,"За ИПЦ закреплена часовня, освященная в честь праведного воина Феодора (в миру адмирал Ф. Ушаков). В ней регулярно проводятся молебны в честь церковных и светских праздников:

Дня знаний, Дня Победы, прославления и кончины адмирала Ушакова (5 августа и 15 октября)."
Какие виды спорта доступны для занятия в лагере?,"Ты можешь попробовать себя в мини-гольфе и даже в стрельбе из лука! Среди пляжных аттракционов «Ждановца» - прогулки на лодках, виндсерфинг и пляжный волейбол. В нашем лагере есть крытый летний кинотеатр, который оснащен всем необходимым оборудованием для проведения культурно-массовых мероприятий любого уровня с использованием спутникового телевидения и мультимедиа-технологий."
Какие проекты могут реализовывать студенты в составе СКБ?,"Студенческие конструкторские бюро ИТС

Студенческое конструкторское бюро (СКБ) - это команда студентов-инженеров, которые решают настоящие прикладные конструкторские задачи. Вместе с командой ты можешь построить спортивный автомобиль, беспилотный летательный аппарат или судно на солнечных батареях."
В какое объединение приглашают вступать?,"Мы с радостью примем тебя в наш дружный коллектив. Директор студенческого клуба - Илья Мошков

тел: 8 (950) 613-12-86"
Кто написал музыку к гимну НГТУ?,"Гимн НГТУ им. Р.Е. Алексеева

Слова Владимира Дубинского, Юрия Адясова, Владимира Карпея Музыка Николая Суворова

Стоишь ты гордо над рекою, Из вузов наших старше всех. Своей любви к тебе не скрою, Нижегородский политех. На первый курс пришел подростком, Все было - слезы и успех, Но найти призвание непросто, Нижегородский политех. Я сопромат зубрил до ночи, Не позабыть мне формул теx. Я инженер, ведь я закончил Нижегородский политех. Нам не забыть твои общаги, Призывный грохот дискотек.  И бурлящий летний лагерь. Нижегородский политех.  С тобой рассветы мы встречали, Не позабыть нам песен тex. И здесь судьбу мы повстречали, Нижегородский политех. С тобой рассветы мы встречали, Не позабыть нам песен тex. И здесь судьбу мы повстречали, Нижегородский политех."
"Что хранится в экспозиции, посвященной Ростиславу Евгеньевичу Алексееву?","Отдельная комната ИПЦ посвящена выпускнику 1941 года, чье имя носит наш университет с 2007 года Ростиславу Евгеньевичу Алексееву. Большая часть тетради, чертежи его будущего проекта, сам дипломный проект

«Глиссер на подводных крыльях» предметов, связанных с увлечениями и работой конструктора.

экспозиции освещает его студенческие годы, здесь хранятся его зачетная книжка, , альбом рисунков и много других интересных

В центре во время экскурсий студенты знакомятся с историей факультетов, подразделений, институтов, а также современными достижениями в науке и технике наших студентов, преподавателей и сотрудников."
В какое время можно записаться на занятия?,"Тебя ждут для записи на занятия с понедельника по пятницу с 10:00 до 15:00 в кабинете №1314, тел. : 220-15-96. Контактное лицо: Нэля Владимировна Пыркова."
Какую должность занимает Кулагин Александр Леонидович в НГТУ им. Алексеева?,"Должность: Зам. директора по проектной деятельности (ауд. 1358), Образовательно-научный институт транспортных систем (ИТС), ФИО: Кулагин Александр Леонидович , Номер телефона: 436-63-64"
Кто является руководителем театральной студии?,"В своих работах мы стараемся не только доказать наличие лириков среди физиков, но и

актуализировать проблемы современного общества, дать пищу для размышления зрителю, повысить интерес к театру. Мы не стремимся к постоянству репертуара и труппы, давая возможность каждой уникальной идее быть воплощенной. Руководитель театральной студии - Полина Раводеева, тел: 8 (903) 604-71-77"
Какие творческие навыки можно развить в музыкальном клубе?,"Музыкальный клуб

Если ты давно хотел играть в музыкальной группе и попробовать себя на сцене, то добро пожаловать в наш дружный коллектив! Ты пишешь стихи или музыку?"
Какими качествами обладает команда студклуба?,"Команда студклуба - те, кто увлекает за собой, и речь не только о лидерских качествах. Артистичные, с фантазией, юмором и творческим

мышлением, а ещё ответственные и целеустремленные."
Какой номер телефона у проректора по внеучебной работе и молодежной политике?,"Должность: Проректор по внеучебной работе и молодежной политике,  ФИО: Гончаров Кирилл Олегович , Номер телефона: 436-85-85"
"Как называется студенческий лагерь, описанный в данных?","Только представь, что может быть лучше Горьковского моря и голубого неба над головой после череды непростых экзаменов? «Ждановец»

в полном смысле этого слова - студенческий лагерь!"
Какое звание обещают с достоинством и честью носить студенты-политехники?,"Клятва студента-политехника

Мы, первокурсники Нижегородского государственного технического университета им. Р.Е. Алексеева, вступая в ряды студентов-политехников, торжественно клянёмся:

С достоинством и честью нести высокое звание студента-политехника, не жалея сил и времени на постижение программы обучения и получение глубоких и всесторонних знаний, компетенций по выбранной специальности."
Как можно охарактеризовать коллектив музыкального клуба НГТУ?,"Музыкальный клуб

Если ты давно хотел играть в музыкальной группе и попробовать себя на сцене, то добро пожаловать в наш дружный коллектив! Ты пишешь стихи или музыку?"
В каких случаях разрешается повторная сдача экзамена с целью повышения оценки?,"Все медицинские документы, представляемые в дирекцию для подтверждения уважительных причин неявки на зачеты и экзамены, должны быть предварительно заверены в поликлинике. - · Академический отпуск предоставляется по медицинским показателям, семейным и иным обстоятельствам на период времени не превышающим 2 года в течение всего срока обучения. - · Повторная сдача экзамена с целью повышения оценки разрешается директором института в исключительных случаях, только в конце обучения (на последнем курсе) по 1 - 2 дисциплинам за предыдущие курсы."
Какой адрес у общежития №4?,"Общежитие №4

Адрес: ул. Кулибина, д. 2; Заведующий: Логинова Ирина Леонидовна (тел. 433-95-89).Общежитие блочного типа. Особенности: терминал оплаты услуг, этаж улучшенного типа (начальник отдела по дополнительным услугам Ирина Леонидовна

Логинова: тел. 433-23-08)."
Как координаторы помогают первокурсникам общаться между собой до начала занятий?,"Они ищут ребят в социальных сетях и помогают им создать официальную беседу с их будущими одногруппниками, для того чтобы им было удобнее дальше обмениваться информацией и общаться. 1 сентября координаторы всегда встречают первокурсников и помогают им сориентироваться в стенах нашего вуза, а после торжественного мероприятия устраивают для ребят встречи в неформальной обстановке."
Какие семестры включает в себя учебный год?,"Сессия

Учебный год делится на два семестра: осенний и весенний . По завершении семестра тебе предстоит экзаменационная сессия."
Когда можно получить читательский билет?,"Научно-техническая библиотека

Работа с библиотекой и в библиотеке является частью учебного процесса, такой же, как посещение лекций и практических занятий. Для получения книг в библиотеке необходим читательский билет, который ты получишь при первом обращении в библиотеку."
С кем взаимодействует оперативный отряд при осуществлении деятельности?,"При осуществлении деятельности оперативный отряд взаимодействует с руководством вуза, его структурными

подразделениями, а также со студенческими и общественными объединениями университета. СОО «Дружина» НГТУ действует с 2010 года!"
"Могут ли обучающиеся изучать дисциплины, не входящие в их основную программу подготовки?","Обучающиеся имеют право: - · Осваивать, помимо учебных дисциплин по избранным направлениям подготовки (специальностям), любые другие учебные дисциплины, преподаваемые в университете, в порядке, предусмотренном его Уставом, а также преподаваемые в других высших учебных заведениях (по согласованию между их руководителями). - • Представлять свои работы для публикации, в том числе в изданиях университета.
- • Участвовать в управлении университетом."
Какие правила безопасности должны соблюдать студенты НГТУ?,"Обучающиеся в университете обязаны: Вести себя достойно звания гражданина Российской Федерации на территории университета и за ее пределами, вести здоровый и трезвый образ жизни. - • Соблюдать правила техники безопасности, пожарной безопасности."
Какова должность Светланы Юрьевны Обыденновой?,"Должность: Проректор по экономике,  ФИО: Обыденнова Светлана Юрьевна , Номер телефона: 436-23-78"
Что требуется от участников СтудСовета СтудГородка для успешной работы?,"И в целом, СтудСовет СтудГородка -это отличная площадка для реализации твоих творческих способностей. От вас лишь требуется большая инициатива, ответственность и активность."
Какова роль НГТУ им. Алексеева в развитии музыкальных талантов студентов?,"А ещё, мы создаём условия для воплощения твоих музыкальных фантазий! Пой с нами, а мы с удовольствием тебе поможем!"
Сколько времени студент будет взаимодействовать с куратором?,"Куратор группы

Куратор - это один из самых необходимых и полезных для вас людей в вузе. Два года вы будете вместе."
Какой адрес у общежития №5?,"Общежитие №5

Адрес: ул. Казанское шоссе, д. 12б; Заведующий: Ольга Александровна Бородкина (тел. 201-04-11).Общежитие блочного типа. Особенности: культурно-досуговый центр."
Какой номер телефона у председателя Совета Координаторов?,"Совет координаторов всегда рад принять в свои ряды новых активных ребят. Мы хотим, чтобы каждому пришедшему в наш вуз студенту было комфортно и приятно находиться в стенах этого прекрасного учебного заведения и будем рады, если вы проявите желание помочь нам с этим. Председатель Совета Координаторов - Олеся Жучок 8 (962) 509-28-36"
С кем рекомендуется проходить маршрут?,"В горы ходят не ногами, в горы ходят душой! Мечтаете пойти в поход, увидеть красоту природы, оказаться выше облаков и пройти маршрут в компании настоящих друзей?"
